Date,Close,Volume,Open,High,Low
01/02/2026,$269.77,21755774,$272.05,$277.82,$269.11 
12/31/2025,$271.86,27293600,$273.06,$273.68,$271.75 
12/30/2025,$273.08,22139600,$272.81,$274.08,$272.28 
12/29/2025,$273.76,23715200,$272.69,$274.36,$272.35 
12/26/2025,$273.40,21521800,$274.16,$275.37,$272.86 
12/24/2025,$273.81,17910600,$272.34,$275.43,$272.20 
12/23/2025,$272.36,29642000,$270.84,$272.50,$269.56 
12/22/2025,$270.97,36571800,$272.86,$273.88,$270.51 
12/19/2025,$273.67,144632000,$272.15,$274.60,$269.90 
12/18/2025,$272.19,51630700,$273.61,$273.63,$266.95 
12/17/2025,$271.84,50138700,$275.01,$276.16,$271.64 
12/16/2025,$274.61,37648600,$272.82,$275.50,$271.79 
12/15/2025,$274.11,50409100,$280.15,$280.15,$272.84 
12/12/2025,$278.28,39532900,$277.90,$279.22,$276.82 
12/11/2025,$278.03,33248000,$279.10,$279.59,$273.81 
12/10/2025,$278.78,33038300,$277.75,$279.75,$276.44 
12/09/2025,$277.18,32193300,$278.16,$280.03,$276.92 
12/08/2025,$277.89,38211800,$278.13,$279.67,$276.15 
12/05/2025,$278.78,47265800,$280.54,$281.14,$278.05 
12/04/2025,$280.70,43989100,$284.10,$284.73,$278.59 
12/03/2025,$284.15,43538700,$286.20,$288.62,$283.30 
12/02/2025,$286.19,53669500,$283.00,$287.40,$282.63 
12/01/2025,$283.10,46587700,$278.01,$283.42,$276.14 
11/28/2025,$278.85,20135600,$277.26,$279.00,$275.99 
11/26/2025,$277.55,33431400,$276.96,$279.53,$276.63 
11/25/2025,$276.97,46914200,$275.27,$280.38,$275.25 
11/24/2025,$275.92,65585800,$270.90,$277.00,$270.90 
11/21/2025,$271.49,59030800,$265.95,$273.33,$265.67 
11/20/2025,$266.25,45823600,$270.83,$275.43,$265.92 
11/19/2025,$268.56,40424500,$265.53,$272.21,$265.50 
11/18/2025,$267.44,45677300,$269.99,$270.71,$265.32 
11/17/2025,$267.46,45018300,$268.82,$270.49,$265.73 
11/14/2025,$272.41,47431300,$271.05,$275.96,$269.60 
11/13/2025,$272.95,49602800,$274.11,$276.70,$272.09 
11/12/2025,$273.47,48398000,$275.00,$275.73,$271.70 
11/11/2025,$275.25,46208300,$269.81,$275.91,$269.80 
11/10/2025,$269.43,41312400,$268.96,$273.73,$267.46 
11/07/2025,$268.47,48227400,$269.80,$272.29,$266.77 
11/06/2025,$269.77,51204000,$267.89,$273.40,$267.89 
11/05/2025,$270.14,43683100,$268.61,$271.70,$266.93 
