Date,Close,Volume,Open,High,Low
09/03/2025,$334.09,88733300,$335.20,$343.33,$328.51
09/02/2025,$329.36,58392000,$328.23,$333.33,$325.60
08/29/2025,$333.87,81145700,$347.23,$348.75,$331.70
08/28/2025,$345.98,67903200,$350.91,$353.55,$340.26
08/27/2025,$349.60,65519000,$351.94,$355.39,$349.16
08/26/2025,$351.67,76651600,$344.93,$351.90,$343.72
08/25/2025,$346.60,86670000,$338.90,$349.53,$335.03
08/22/2025,$340.01,94016300,$321.66,$340.25,$319.69
08/21/2025,$320.11,55744400,$322.08,$324.90,$318.68
08/20/2025,$323.90,77481800,$329.22,$331.37,$314.60
08/19/2025,$329.31,75956000,$335.79,$340.55,$327.85
08/18/2025,$335.16,56956600,$329.62,$336.27,$329.59
08/15/2025,$330.56,74319800,$337.66,$339.30,$327.02
08/14/2025,$335.58,75000700,$335.76,$340.47,$330.40
08/13/2025,$339.38,67838900,$341.50,$348.98,$338.20
08/12/2025,$340.84,80522100,$345.00,$345.26,$332.94
08/11/2025,$339.03,105320200,$335.00,$346.64,$334.15
08/08/2025,$329.65,91200300,$321.43,$335.15,$320.98
08/07/2025,$322.27,66658700,$319.79,$322.40,$316.16
08/06/2025,$319.91,78523600,$307.89,$320.47,$306.93
08/05/2025,$308.72,57961300,$308.95,$312.45,$305.50
08/04/2025,$309.26,78683900,$309.08,$312.12,$303.00
08/01/2025,$302.63,89121400,$306.21,$309.31,$297.82
07/31/2025,$308.27,85270900,$319.61,$321.37,$306.10
07/30/2025,$319.04,83931900,$322.18,$324.45,$311.62
07/29/2025,$321.20,87358900,$325.55,$326.25,$318.25
07/28/2025,$325.59,112673800,$318.45,$330.49,$315.69
07/25/2025,$316.06,148227000,$308.74,$323.63,$308.01
07/24/2025,$305.30,156966000,$310.00,$310.15,$300.41
07/23/2025,$332.56,92553800,$330.90,$336.20,$328.67
07/22/2025,$332.11,77370400,$329.74,$335.41,$321.55
07/21/2025,$328.49,75768800,$334.40,$338.00,$326.88
07/18/2025,$329.65,94255000,$321.66,$330.90,$321.42
07/17/2025,$319.41,73922900,$323.15,$324.34,$317.06
07/16/2025,$321.67,97284800,$312.80,$323.50,$312.62
07/15/2025,$310.78,77556300,$319.68,$321.20,$310.50
07/14/2025,$316.90,78043400,$317.73,$322.60,$312.67
07/11/2025,$313.51,79236400,$307.89,$314.09,$305.65
07/10/2025,$309.87,104365300,$300.05,$310.48,$300.00
07/09/2025,$295.88,75586800,$297.55,$300.15,$293.55
