Date,Close,Volume,Open,High,Low
11/14/2025,$510.18,28505700,$498.23,$511.60,$497.44 
11/13/2025,$503.29,25273100,$510.31,$513.50,$501.29 
11/12/2025,$511.14,26574900,$509.36,$511.67,$499.12 
11/11/2025,$508.68,17980000,$504.80,$509.60,$502.35 
11/10/2025,$506.00,26101500,$500.04,$506.85,$498.80 
11/07/2025,$496.82,24019800,$496.95,$499.38,$493.25 
11/06/2025,$497.10,27406500,$505.66,$505.70,$495.81 
11/05/2025,$507.16,23024300,$513.30,$514.83,$506.58 
11/04/2025,$514.33,20958700,$511.76,$515.55,$507.84 
11/03/2025,$517.03,22374700,$519.81,$524.96,$514.59 
10/31/2025,$517.81,34006400,$528.88,$529.32,$515.10 
10/30/2025,$525.76,41023100,$530.48,$534.97,$522.12 
10/29/2025,$541.55,36023000,$544.94,$546.27,$536.73 
10/28/2025,$542.07,29986700,$550.00,$553.72,$540.77 
10/27/2025,$531.52,18734700,$531.78,$534.58,$529.01 
10/24/2025,$523.61,15532400,$522.79,$525.35,$520.71 
10/23/2025,$520.56,14023500,$522.46,$523.95,$518.61 
10/22/2025,$520.54,18962700,$521.15,$525.23,$517.71 
10/21/2025,$517.66,15586200,$517.50,$518.69,$513.04 
10/20/2025,$516.79,14665600,$514.61,$518.70,$513.43 
10/17/2025,$513.58,19867800,$509.04,$515.48,$507.31 
10/16/2025,$511.61,15559600,$512.58,$516.85,$508.13 
10/15/2025,$513.43,14694700,$514.96,$517.19,$510.00 
10/14/2025,$513.57,14684300,$510.23,$515.28,$506.00 
10/13/2025,$514.05,14284200,$516.41,$516.41,$511.68 
10/10/2025,$510.96,24133800,$519.64,$523.58,$509.63 
10/09/2025,$522.40,18343600,$522.34,$524.33,$517.40 
10/08/2025,$524.85,13363400,$523.28,$526.95,$523.09 
10/07/2025,$523.98,14615200,$528.29,$529.80,$521.44 
10/06/2025,$528.57,21388600,$518.61,$531.03,$518.20 
10/03/2025,$517.35,15112300,$517.10,$520.49,$515.00 
10/02/2025,$515.74,21222900,$517.64,$521.60,$510.68 
10/01/2025,$519.71,22632300,$514.80,$520.51,$511.69 
09/30/2025,$517.95,19728200,$513.24,$518.16,$509.66 
09/29/2025,$514.60,17617800,$511.50,$516.85,$508.88 
09/26/2025,$511.46,16213100,$510.06,$513.94,$506.62 
09/25/2025,$507.03,15786500,$508.30,$510.01,$505.04 
09/24/2025,$510.15,13533700,$510.38,$512.48,$506.92 
09/23/2025,$509.23,19799600,$513.80,$514.59,$507.31 
09/22/2025,$514.45,20009300,$515.59,$517.74,$512.54 
09/19/2025,$517.93,52474100,$510.56,$519.30,$510.31 
09/18/2025,$508.45,18913700,$511.49,$513.07,$507.66 
09/17/2025,$510.02,15816600,$510.62,$511.29,$505.93 
09/16/2025,$509.04,19711900,$516.88,$517.23,$508.60 
09/15/2025,$515.36,17143800,$508.79,$515.47,$507.00 
09/12/2025,$509.90,23624900,$506.65,$512.55,$503.85 
09/11/2025,$501.01,18881600,$502.25,$503.17,$497.88 
09/10/2025,$500.37,21611800,$502.98,$503.23,$496.72 
09/09/2025,$498.41,14410500,$501.43,$502.25,$497.70 
09/08/2025,$498.20,16771000,$498.11,$501.20,$495.03 
09/05/2025,$495.00,31994800,$509.07,$511.97,$492.37 
09/04/2025,$507.97,15509500,$504.30,$508.15,$503.15 
09/03/2025,$505.35,16345100,$503.79,$507.79,$502.32 
09/02/2025,$505.12,18128000,$500.47,$506.00,$496.81 
08/29/2025,$506.69,20961600,$508.66,$509.60,$504.49 
08/28/2025,$509.64,18015600,$507.09,$511.09,$505.50 
08/27/2025,$506.74,17277900,$502.00,$507.29,$499.90 
08/26/2025,$502.04,30835700,$504.36,$504.98,$498.51 
08/25/2025,$504.26,21638600,$506.63,$508.19,$504.12 
08/22/2025,$507.23,24324200,$504.25,$510.73,$502.41 
08/21/2025,$504.24,18443300,$503.69,$507.63,$502.72 
08/20/2025,$505.72,27723000,$509.87,$511.00,$504.44 
08/19/2025,$509.77,21481000,$515.00,$515.16,$508.55 
08/18/2025,$517.10,23760600,$521.59,$522.82,$514.02 
08/15/2025,$520.17,25213300,$522.77,$526.10,$519.08 
08/14/2025,$522.48,20269100,$522.56,$525.95,$520.14 
08/13/2025,$520.58,19619200,$532.11,$532.70,$519.37 
08/12/2025,$529.24,18667000,$523.75,$530.98,$522.70 
08/11/2025,$521.77,20194400,$522.30,$527.59,$519.72 
08/08/2025,$522.04,15531000,$522.60,$524.66,$519.41 
08/07/2025,$520.84,16079100,$526.80,$528.09,$517.55 
08/06/2025,$524.94,21355700,$530.90,$531.70,$524.03 
