Date,Close,Volume,Open,High,Low
10/29/2025,$178.67,11614600,$182.00,$183.49,$178.20
10/28/2025,$181.03,20323100,$183.93,$185.91,$179.41
10/27/2025,$187.68,81799300,$168.95,$205.95,$168.82
10/24/2025,$168.94,6256000,$171.69,$172.42,$168.47
10/23/2025,$170.03,6546400,$168.33,$171.25,$167.88
10/22/2025,$169.27,10083800,$167.49,$169.78,$166.02
10/21/2025,$168.83,6176100,$166.80,$169.24,$166.20
10/20/2025,$167.04,8194100,$163.34,$167.65,$162.06
10/17/2025,$163.45,4833100,$162.86,$163.79,$161.67
10/16/2025,$164.08,5686700,$164.49,$165.19,$162.21
10/15/2025,$162.97,7334100,$164.24,$164.24,$160.31
10/14/2025,$161.74,8675200,$159.30,$164.27,$159.26
10/13/2025,$161.78,10311000,$155.95,$162.39,$155.78
10/10/2025,$153.59,15818600,$164.82,$165.09,$153.35
10/09/2025,$165.66,6928400,$167.37,$167.61,$163.23
10/08/2025,$167.77,7302200,$166.24,$168.55,$163.89
10/07/2025,$165.46,7147500,$169.90,$171.98,$165.14
10/06/2025,$168.62,8265800,$170.54,$170.88,$167.72
10/03/2025,$169.18,5137900,$168.85,$171.75,$168.74
10/02/2025,$168.85,5499500,$167.75,$169.54,$167.18
10/01/2025,$166.49,6153000,$165.80,$166.77,$164.49
09/30/2025,$166.36,5593300,$165.64,$166.84,$164.88
09/29/2025,$165.30,7523100,$169.20,$169.84,$164.76
09/26/2025,$169.20,4846000,$169.68,$170.93,$168.13
09/25/2025,$169.68,8093700,$171.21,$171.97,$167.94
09/24/2025,$173.55,9213700,$169.05,$174.44,$168.67
09/23/2025,$169.53,5468400,$169.82,$170.85,$168.30
09/22/2025,$169.72,6196600,$166.85,$170.22,$165.92
09/19/2025,$166.85,19444400,$169.17,$169.58,$166.29
09/18/2025,$168.13,10421200,$166.88,$168.86,$166.23
09/17/2025,$165.26,6057800,$164.68,$166.37,$163.23
09/16/2025,$164.14,7997500,$161.82,$165.00,$161.50
09/15/2025,$161.22,5604800,$161.40,$162.68,$160.21
09/12/2025,$161.83,5430600,$161.33,$162.33,$159.58
09/11/2025,$161.51,8360200,$159.19,$162.07,$157.96
09/10/2025,$158.95,8256900,$158.62,$159.21,$156.61
09/09/2025,$158.66,6126000,$160.37,$161.60,$157.57
09/08/2025,$160.24,7019700,$160.29,$160.29,$158.01
09/05/2025,$159.84,7954200,$160.08,$163.49,$159.15
09/04/2025,$159.71,7781200,$156.20,$159.86,$154.47
09/03/2025,$157.28,6336400,$159.40,$159.57,$156.06
09/02/2025,$158.78,7520300,$157.82,$158.94,$154.60
08/29/2025,$160.73,9949100,$159.53,$161.60,$159.40
08/28/2025,$160.80,8156300,$159.91,$161.22,$159.03
08/27/2025,$159.77,4549900,$158.36,$159.97,$157.80
08/26/2025,$159.17,9173000,$157.66,$159.96,$157.41
08/25/2025,$156.42,4653000,$157.61,$158.05,$155.40
08/22/2025,$158.01,7711500,$154.83,$159.89,$154.56
08/21/2025,$154.13,4997300,$154.82,$155.20,$153.05
08/20/2025,$155.44,7151700,$156.39,$156.64,$153.46
08/19/2025,$156.25,6396500,$159.07,$159.43,$156.05
08/18/2025,$158.90,4774400,$157.78,$159.75,$157.24
08/15/2025,$157.85,7583700,$158.04,$159.26,$156.69
08/14/2025,$158.09,6294800,$154.90,$158.65,$154.90
08/13/2025,$156.59,7103300,$153.97,$157.11,$153.63
08/12/2025,$153.73,9304100,$148.79,$153.90,$148.57
08/11/2025,$147.97,6215900,$148.57,$151.06,$147.71
08/08/2025,$147.56,5028700,$146.35,$148.02,$145.69
08/07/2025,$145.90,6753500,$148.32,$148.32,$144.81
08/06/2025,$145.84,8475700,$146.65,$146.71,$144.11
08/05/2025,$146.71,7794500,$148.52,$148.65,$145.67
08/04/2025,$147.51,8150200,$148.51,$150.79,$147.07
08/01/2025,$148.19,12706700,$146.46,$149.17,$145.79
07/31/2025,$146.76,24440100,$153.11,$156.80,$145.58
07/30/2025,$159.06,14382500,$163.00,$163.27,$158.00
07/29/2025,$162.08,9460900,$162.04,$163.60,$161.14
07/28/2025,$161.05,9627300,$159.76,$161.96,$159.16
07/25/2025,$158.40,4808200,$158.90,$159.20,$157.41
07/24/2025,$158.84,5014800,$158.35,$159.09,$156.79
07/23/2025,$159.88,7296200,$158.59,$160.04,$156.93
07/22/2025,$157.99,6951600,$158.96,$159.04,$156.17
07/21/2025,$158.97,7662300,$154.92,$159.93,$154.91
07/18/2025,$154.80,7433900,$153.04,$155.43,$152.73
07/17/2025,$152.61,7018600,$153.00,$153.53,$151.80
07/16/2025,$154.07,7106700,$154.30,$154.50,$151.54
07/15/2025,$154.30,6467300,$156.29,$156.71,$154.12
07/14/2025,$154.29,7382600,$156.42,$156.50,$153.48
07/11/2025,$157.46,5907700,$159.00,$159.17,$157.15
07/10/2025,$159.09,5674400,$158.99,$160.29,$157.79
07/09/2025,$159.35,4190100,$159.40,$161.48,$158.25
07/08/2025,$159.45,6879100,$159.47,$161.83,$158.61
07/07/2025,$158.09,7187400,$161.11,$161.49,$157.57
07/03/2025,$162.21,4280800,$163.04,$163.96,$162.09
07/02/2025,$162.32,8916400,$159.68,$162.79,$158.80
07/01/2025,$159.40,8942300,$158.22,$161.65,$157.98
06/30/2025,$159.26,7988200,$158.39,$159.86,$157.80
06/27/2025,$158.54,22100300,$158.65,$161.10,$157.57
06/26/2025,$158.19,6278200,$156.50,$158.42,$155.91
06/25/2025,$155.93,5280100,$156.10,$156.53,$154.59
06/24/2025,$155.71,7692700,$154.73,$156.30,$154.15
06/23/2025,$153.14,6860700,$151.23,$153.52,$149.68
06/20/2025,$151.32,15501900,$154.23,$155.12,$150.63
06/18/2025,$153.63,6708700,$155.00,$156.10,$153.15
06/17/2025,$154.46,7146900,$156.65,$157.58,$154.39
06/16/2025,$156.87,8686300,$157.03,$158.45,$155.64
06/13/2025,$154.72,8446400,$156.34,$157.17,$154.44
06/12/2025,$158.70,5689400,$159.00,$159.61,$157.95
06/11/2025,$159.48,8859900,$160.00,$162.14,$157.70
06/10/2025,$159.13,9068400,$156.19,$159.51,$155.07
06/09/2025,$155.41,10589400,$151.81,$156.12,$151.17
06/06/2025,$149.24,5794700,$149.80,$150.59,$149.05
06/05/2025,$147.56,5605500,$148.80,$150.08,$147.00
06/04/2025,$149.05,7143800,$150.00,$150.05,$147.38
06/03/2025,$148.94,6164100,$146.71,$149.78,$145.51
06/02/2025,$146.63,6419500,$144.80,$147.21,$144.48
05/30/2025,$145.20,13755600,$148.00,$148.02,$143.48
05/29/2025,$148.34,5980700,$149.86,$150.50,$147.24
05/28/2025,$147.60,7032300,$148.82,$149.49,$147.36
05/27/2025,$148.63,9788800,$147.55,$149.35,$146.43
05/23/2025,$145.38,8994600,$143.42,$146.49,$141.77
05/22/2025,$147.37,9539100,$151.39,$151.58,$147.22
05/21/2025,$151.31,9684500,$153.58,$156.13,$150.83
05/20/2025,$153.82,5269500,$153.04,$153.89,$151.93
05/19/2025,$153.70,7241100,$150.55,$153.82,$150.11
05/16/2025,$152.50,6668000,$152.87,$153.06,$151.30
05/15/2025,$152.61,6941200,$151.71,$153.39,$150.18
05/14/2025,$152.98,6971200,$151.93,$153.27,$150.43
05/13/2025,$151.34,10160900,$152.01,$153.29,$150.96
05/12/2025,$152.12,11414600,$154.08,$154.36,$149.83
05/09/2025,$145.18,6217100,$145.66,$146.98,$144.60
05/08/2025,$145.10,8489100,$145.64,$147.50,$143.89
05/07/2025,$144.30,10196400,$140.38,$144.70,$140.25
05/06/2025,$139.90,6957900,$137.82,$140.80,$137.46
05/05/2025,$139.44,7165300,$138.30,$140.77,$138.29
05/02/2025,$139.81,13185600,$137.85,$141.41,$137.29
05/01/2025,$135.21,22836600,$138.79,$138.96,$134.87
04/30/2025,$148.46,10851900,$145.20,$148.85,$143.88
04/29/2025,$146.88,6692000,$146.66,$148.26,$145.52
04/28/2025,$147.62,5743500,$148.18,$149.30,$145.44
04/25/2025,$148.56,5145600,$146.08,$149.20,$146.08
04/24/2025,$147.21,8810600,$142.78,$147.82,$141.99
04/23/2025,$140.46,9073500,$142.58,$143.88,$139.78
04/22/2025,$138.74,8228000,$136.75,$139.10,$136.49
04/21/2025,$136.14,8128300,$134.73,$136.55,$133.36
04/17/2025,$136.66,7135900,$137.38,$138.15,$135.71
04/16/2025,$135.74,10417200,$133.68,$137.31,$131.79
04/15/2025,$138.60,6346800,$139.46,$140.84,$138.03
04/14/2025,$139.19,6930300,$142.75,$143.11,$136.83
04/11/2025,$139.25,10955300,$134.00,$140.65,$131.11
04/10/2025,$134.40,14898800,$137.01,$139.06,$129.29
04/09/2025,$143.59,21242600,$125.16,$144.86,$124.19
04/08/2025,$124.66,14965900,$131.13,$135.29,$121.74
04/07/2025,$129.72,17938300,$124.59,$137.20,$120.80
04/04/2025,$127.46,19018600,$134.34,$135.86,$126.68
04/03/2025,$139.42,16465000,$147.00,$147.40,$138.56
