Date,Close,Volume,Open,High,Low
10/17/2025,$85.36,8527600,$84.25,$85.94,$84.02
10/16/2025,$84.34,11552100,$83.20,$84.89,$83.04
10/15/2025,$82.86,11094300,$81.70,$83.32,$81.57
10/14/2025,$81.15,7510300,$79.25,$81.48,$79.03
10/13/2025,$80.03,8052000,$78.85,$80.44,$78.51
10/10/2025,$78.46,11129800,$79.66,$81.21,$78.41
10/09/2025,$79.78,9075700,$80.12,$80.46,$79.43
10/08/2025,$80.04,12397700,$81.13,$81.13,$79.93
10/07/2025,$81.29,10070100,$82.16,$82.46,$80.79
10/06/2025,$82.11,14996700,$86.29,$86.29,$82.06
10/03/2025,$86.42,7634500,$86.50,$86.90,$85.96
10/02/2025,$86.72,9461500,$84.25,$87.26,$84.03
10/01/2025,$84.40,8155200,$84.46,$85.14,$83.96
09/30/2025,$84.60,7574200,$85.23,$85.25,$84.18
09/29/2025,$85.64,11222800,$83.65,$85.84,$83.55
09/26/2025,$83.39,6955500,$83.85,$84.62,$82.90
09/25/2025,$83.83,8670500,$84.54,$84.67,$82.89
09/24/2025,$84.27,9664000,$85.58,$85.65,$84.13
09/23/2025,$85.69,8765500,$85.15,$86.18,$84.85
09/22/2025,$85.29,7881700,$84.23,$85.40,$83.69
09/19/2025,$84.56,15315900,$84.13,$85.22,$83.38
09/18/2025,$83.42,7163700,$83.14,$83.60,$82.63
09/17/2025,$83.22,6632200,$84.48,$84.86,$82.96
09/16/2025,$84.37,10244300,$83.03,$84.73,$83.00
09/15/2025,$82.68,9685900,$82.08,$83.87,$81.98
09/12/2025,$81.90,9996200,$82.37,$82.54,$81.20
09/11/2025,$82.36,12046600,$83.29,$83.93,$82.13
09/10/2025,$82.88,8108000,$83.87,$84.00,$82.77
09/09/2025,$83.81,8635800,$84.20,$84.68,$83.27
09/08/2025,$84.17,9213700,$85.50,$85.50,$83.68
09/05/2025,$85.43,9047200,$86.86,$87.35,$85.06
09/04/2025,$87.01,6799200,$87.17,$87.77,$86.39
09/03/2025,$87.25,10201000,$89.40,$89.48,$86.29
09/02/2025,$89.78,10466200,$87.84,$89.99,$87.18
08/29/2025,$88.19,6315200,$88.00,$88.57,$87.40
08/28/2025,$88.02,7905600,$88.22,$88.46,$87.60
08/27/2025,$87.66,7677900,$86.63,$88.31,$86.50
08/26/2025,$86.63,9315200,$85.89,$87.20,$85.57
08/25/2025,$85.81,11013500,$88.22,$88.32,$85.71
08/22/2025,$88.38,7625500,$89.13,$89.85,$88.31
08/21/2025,$88.56,5669200,$89.03,$89.19,$88.11
08/20/2025,$89.51,5814000,$90.96,$91.32,$89.45
08/19/2025,$90.93,6815800,$92.54,$92.97,$90.73
08/18/2025,$92.54,7376200,$90.31,$93.58,$89.90
08/15/2025,$90.60,8059700,$92.55,$92.73,$90.37
08/14/2025,$93.06,9803500,$93.61,$93.61,$92.08
08/13/2025,$94.18,6493400,$93.18,$94.69,$92.74
08/12/2025,$93.37,9669300,$93.44,$94.85,$93.08
08/11/2025,$91.74,9504400,$92.04,$92.44,$90.49
08/08/2025,$92.12,8035300,$90.77,$92.21,$90.75
